"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1,C2","100nF","","2","Unpolarized capacitor, small symbol","","",""
"J1","RJ45","Connector_RJ:RJ45_Molex_0855135013_Vertical","1","RJ connector, 8P8C (8 positions 8 connected)","","","C708653"
"J2","Conn_01x03","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","1","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","C161870"
"J3","Conn_01x06","Connector_JST:JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical","1","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","","","C161873"
"JP1","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1","Jumper, 2-pole, open","","",""
"Q1-Q3","AO3400A","Package_TO_SOT_SMD:SOT-23","3","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","","","C20917"
"R1-R3","100","Resistor_SMD:R_0402_1005Metric","3","Resistor, small symbol","","","C25076"
"R4-R6","100k","Resistor_SMD:R_0402_1005Metric","3","Resistor, small symbol","","","C25530"
